name,slug,ceo_name,ceo_linkedin,company_linkedin,eng,remote,job_website,description,stage,tags,industries,all_locations,team_size,batch,funding
AiSDR,aisdr,Yuriy Zaremba,https://linkedin.com/in/yuriy-zaremba,https://www.linkedin.com/company/aisdrapp/,false,false,https://www.ycombinator.com/companies/aisdr/jobs (could not find a dedicated career website),AI sales prospecting. Replace your SDR with AiSDR,Early,"{artificial intelligence,saas,b2b,sales,ai}","{b2b,sales}","San Francisco, CA, USA; Remote",5,Summer 2023,4529000
Giga,giga,Varun Vummadi,https://linkedin.com/in/varunvummadi,https://linkedin.com/company/giga-ai,true,true,https://www.ycombinator.com/companies/giga/jobs (could not find a dedicated career website),AI customer service agent for B2C  Companies,Early,"{artificial intelligence,ai}","{b2b,engineering, product and design}","San Francisco, CA, USA",8,Summer 2023,3740000
Affinity,affinity,Faraz Rana,https://linkedin.com/in/faraz-rana-502874a,https://www.linkedin.com/company/affinity-training,false,false,https://www.ycombinator.com/companies/affinity/jobs (could not find a dedicated career website),A compliance training platform built for regulated industries.,Early,"{fintech,workflow automation,team collaboration,compliance,hr tech}",{b2b},"New York, NY, USA; Remote",2,Summer 2023,\N
Cargo,cargo,Aurelien Aubert,https://linkedin.com/in/auree,https://www.linkedin.com/company/cargo-hq,true,true,https://getcargo.io/jobs,Build your GTM workforce,Early,{},"{b2b,sales}","San Francisco, CA, USA; Remote",6,Summer 2023,62250000
CheqUPI,chequpi,Sudhanshu Shekhar,https://linkedin.com/in/sudshekhar02,https://www.linkedin.com/company/cheq-it/,false,false,https://www.cheq.money/careers,India's first UPI wallet for foreign nationals and NRIs,Early,"{fintech,payments,india,consumer finance}",{fintech},"Bengaluru, KA, India; San Francisco, CA, USA",15,Summer 2023,5000000
Roame,roame,Tim Qin,https://linkedin.com/in/timqin,https://www.linkedin.com/company/roametravel/,true,false,https://www.ycombinator.com/companies/roame/jobs (could not find a dedicated career website),Flight search engine using credit card points and miles,Early,"{artificial intelligence,saas,travel,airlines,consumer finance}","{consumer,travel, leisure and tourism}","San Francisco, CA, USA",4,Summer 2023,15000000
dili,dili,Anand Chaturvedi,https://linkedin.com/in/anandchaturvedi1,https://www.linkedin.com/company/dili-ai/,true,true,https://www.ycombinator.com/companies/dili/jobs (could not find a dedicated career website),Automating PWA Compliance and Diligence,Early,"{fintech,b2b,compliance,energy,ai}","{b2b,finance and accounting}","New York, NY, USA",5,Summer 2023,3600000
Webhound,webhound,Moe Khalil,https://linkedin.com/in/moe-khalil-73a2371a1,https://www.linkedin.com/company/webhound,false,false,https://www.ycombinator.com/companies/webhound/jobs (could not find a dedicated career website),An AI agent that builds datasets from the web,Early,"{artificial intelligence,generative ai,consumer,search,ai}",{consumer},"San Francisco, CA, USA",2,Summer 2023,\N
Trayd,trayd,Anna Berger,https://linkedin.com/in/anna-berger-39497a72,https://www.linkedin.com/company/buildtraydllc/,false,false,https://www.buildtrayd.com//careers,A construction payroll platform designed for same-day pay.,Early,"{fintech,saas,construction,proptech,payroll}","{b2b,finance and accounting}","New York, NY, USA",4,Summer 2023,18500000
ParadeDB,paradedb,Philippe Noël,https://linkedin.com/in/philippemnoel,https://linkedin.com/company/paradedb,false,false,https://www.ycombinator.com/companies/paradedb/jobs (could not find a dedicated career website),ParadeDB is a modern Elasticsearch alternative built on Postgres,Early,"{developer tools,analytics,open source,infrastructure,databases}",{b2b},"New York, NY, USA",6,Summer 2023,12000000
Quill AI,quill-ai,Gabriel Banks,https://linkedin.com/in/gabriel-banks-662548230,https://www.linkedin.com/company/quill-ai/,false,false,https://www.ycombinator.com/companies/quill-ai/jobs (could not find a dedicated career website),AI Powered Equity Research Platform,Early,"{artificial intelligence,fintech,automation,ai}","{b2b,finance and accounting}","New York, NY, USA",3,Summer 2023,1200000
Strada,strada,Amir Prodensky,https://linkedin.com/in/aprodensky,https://www.linkedin.com/company/getstrada,true,false,https://www.ycombinator.com/companies/strada/jobs (could not find a dedicated career website),Phone AI agents for insurance,Early,"{saas,b2b,insurance,ai}",{b2b},"San Francisco, CA, USA",6,Summer 2023,\N
Smobi,smobi,Kunal Puri,https://linkedin.com/in/kunal-puri1,https://www.linkedin.com/company/getsmobi/,false,false,https://www.ycombinator.com/companies/smobi/jobs (could not find a dedicated career website),The RCS Product Development Platform,Early,"{b2b,api,marketing,sms,telecommunications}","{b2b,marketing}","New York, NY, USA",4,Summer 2023,5000000
RecipeUI,recipeui,Samuel San,https://linkedin.com/in/samuelsan,https://www.linkedin.com/company/recipeui/,false,false,https://www.ycombinator.com/companies/recipeui/jobs (could not find a dedicated career website),The open source Postman alternative.,Early,"{developer tools,open source,api}","{b2b,engineering, product and design}","New York, NY, USA",2,Summer 2023,5000000
Fiber AI,fiber-ai,Adi Agashe,https://linkedin.com/in/adityaagashe,https://www.linkedin.com/company/fiberai/,false,false,https://fiber.ai//careers,"AI TAM list builder for targeted prospecting, outbound & recruiting",Early,"{artificial intelligence,generative ai,saas,recruiting,sales}",{b2b},"San Francisco, CA, USA",8,Summer 2023,12000000
Cedalio,cedalio,Luciana Reznik,https://linkedin.com/in/lucianareznik,https://www.linkedin.com/company/cedalio/,false,false,https://www.ycombinator.com/companies/cedalio/jobs (could not find a dedicated career website),Turn your utility bills into smart decisions with AI,Early,"{artificial intelligence,energy,data engineering}",{b2b},"San Francisco, CA, USA",6,Summer 2023,600000
HappyRobot,happyrobot,Pablo Palafox,https://linkedin.com/in/pablorpalafox,https://www.linkedin.com/company/happyrobot/,true,true,https://www.ycombinator.com/companies/happyrobot/jobs (could not find a dedicated career website),AI Communication. Built for Logistics.,Early,"{logistics,ai assistant}","{b2b,supply chain and logistics}","San Francisco, CA, USA",45,Summer 2023,15600000
